,country,year,population,cont,life_exp,gdp_cap,,,
11,Afghanistan,2007,31.889923,Asia,43.828,974.5803384,,,
23,Albania,2007,3.600523,Europe,76.423,5937.029526,,,
35,Algeria,2007,33.333216,Africa,72.301,6223.367465,,,
47,Angola,2007,12.420476,Africa,42.731,4797.231267,,,
59,Argentina,2007,40.301927,Americas,75.32,12779.37964,,,
71,Australia,2007,20.434176,Oceania,81.235,34435.36744,,,
83,Austria,2007,8.199783,Europe,79.829,36126.4927,,,
95,Bahrain,2007,0.708573,Asia,75.635,29796.04834,,,
107,Bangladesh,2007,150.448339,Asia,64.062,1391.253792,,,
119,Belgium,2007,10.392226,Europe,79.441,33692.60508,,,
131,Benin,2007,8.078314,Africa,56.728,1441.284873,,,
143,Bolivia,2007,9.119152,Americas,65.554,3822.137084,,,
155,Bosnia and Herzegovina,2007,4.552198,Europe,74.852,7446.298803,,,
167,Botswana,2007,1.639131,Africa,50.728,12569.85177,,,
179,Brazil,2007,190.010647,Americas,72.39,9065.800825,,,
191,Bulgaria,2007,7.322858,Europe,73.005,10680.79282,,,
203,Burkina Faso,2007,14.326203,Africa,52.295,1217.032994,,,
215,Burundi,2007,8.390505,Africa,49.58,430.0706916,,,
227,Cambodia,2007,14.131858,Asia,59.723,1713.778686,,,
239,Cameroon,2007,17.696293,Africa,50.43,2042.09524,,,
251,Canada,2007,33.390141,Americas,80.653,36319.23501,,,
263,Central African Republic,2007,4.369038,Africa,44.741,706.016537,,,
275,Chad,2007,10.238807,Africa,50.651,1704.063724,,,
287,Chile,2007,16.284741,Americas,78.553,13171.63885,,,
299,China,2007,1318.683096,Asia,72.961,4959.114854,,,
311,Colombia,2007,44.22755,Americas,72.889,7006.580419,,,
323,Comoros,2007,0.71096,Africa,65.152,986.1478792,,,
335,"Congo, Dem. Rep.",2007,64.606759,Africa,46.462,277.5518587,,,
347,"Congo, Rep.",2007,3.80061,Africa,55.322,3632.557798,,,
359,Costa Rica,2007,4.133884,Americas,78.782,9645.06142,,,
371,Cote d'Ivoire,2007,18.013409,Africa,48.328,1544.750112,,,
383,Croatia,2007,4.493312,Europe,75.748,14619.22272,,,
395,Cuba,2007,11.416987,Americas,78.273,8948.102923,,,
407,Czech Republic,2007,10.228744,Europe,76.486,22833.30851,,,
419,Denmark,2007,5.46812,Europe,78.332,35278.41874,,,
431,Djibouti,2007,0.496374,Africa,54.791,2082.481567,,,
443,Dominican Republic,2007,9.319622,Americas,72.235,6025.374752,,,
455,Ecuador,2007,13.75568,Americas,74.994,6873.262326,,,
467,Egypt,2007,80.264543,Africa,71.338,5581.180998,,,
479,El Salvador,2007,6.939688,Americas,71.878,5728.353514,,,
491,Equatorial Guinea,2007,0.551201,Africa,51.579,12154.08975,,,
503,Eritrea,2007,4.906585,Africa,58.04,641.3695236,,,
515,Ethiopia,2007,76.511887,Africa,52.947,690.8055759,,,
527,Finland,2007,5.23846,Europe,79.313,33207.0844,,,
539,France,2007,61.083916,Europe,80.657,30470.0167,,,
551,Gabon,2007,1.454867,Africa,56.735,13206.48452,,,
563,Gambia,2007,1.688359,Africa,59.448,752.7497265,,,
575,Germany,2007,82.400996,Europe,79.406,32170.37442,,,
587,Ghana,2007,22.873338,Africa,60.022,1327.60891,,,
599,Greece,2007,10.70629,Europe,79.483,27538.41188,,,
611,Guatemala,2007,12.572928,Americas,70.259,5186.050003,,,
623,Guinea,2007,9.947814,Africa,56.007,942.6542111,,,
635,Guinea-Bissau,2007,1.472041,Africa,46.388,579.231743,,,
647,Haiti,2007,8.502814,Americas,60.916,1201.637154,,,
659,Honduras,2007,7.483763,Americas,70.198,3548.330846,,,
671,"Hong Kong, China",2007,6.980412,Asia,82.208,39724.97867,,,
683,Hungary,2007,9.956108,Europe,73.338,18008.94444,,,
695,Iceland,2007,0.301931,Europe,81.757,36180.78919,,,
707,India,2007,1110.396331,Asia,64.698,2452.210407,,,
719,Indonesia,2007,223.547,Asia,70.65,3540.651564,,,
731,Iran,2007,69.45357,Asia,70.964,11605.71449,,,
743,Iraq,2007,27.499638,Asia,59.545,4471.061906,,,
755,Ireland,2007,4.109086,Europe,78.885,40675.99635,,,
767,Israel,2007,6.426679,Asia,80.745,25523.2771,,,
779,Italy,2007,58.147733,Europe,80.546,28569.7197,,,
791,Jamaica,2007,2.780132,Americas,72.567,7320.880262,,,
803,Japan,2007,127.467972,Asia,82.603,31656.06806,,,
815,Jordan,2007,6.053193,Asia,72.535,4519.461171,,,
827,Kenya,2007,35.610177,Africa,54.11,1463.249282,,,
839,"Korea, Dem. Rep.",2007,23.301725,Asia,67.297,1593.06548,,,
851,"Korea, Rep.",2007,49.04479,Asia,78.623,23348.13973,,,
863,Kuwait,2007,2.505559,Asia,77.588,47306.98978,,,
875,Lebanon,2007,3.921278,Asia,71.993,10461.05868,,,
887,Lesotho,2007,2.012649,Africa,42.592,1569.331442,,,
899,Liberia,2007,3.193942,Africa,45.678,414.5073415,,,
911,Libya,2007,6.036914,Africa,73.952,12057.49928,,,
923,Madagascar,2007,19.167654,Africa,59.443,1044.770126,,,
935,Malawi,2007,13.327079,Africa,48.303,759.3499101,,,
947,Malaysia,2007,24.821286,Asia,74.241,12451.6558,,,
959,Mali,2007,12.031795,Africa,54.467,1042.581557,,,
971,Mauritania,2007,3.270065,Africa,64.164,1803.151496,,,
983,Mauritius,2007,1.250882,Africa,72.801,10956.99112,,,
995,Mexico,2007,108.700891,Americas,76.195,11977.57496,,,
1007,Mongolia,2007,2.874127,Asia,66.803,3095.772271,,,
1019,Montenegro,2007,0.684736,Europe,74.543,9253.896111,,,
1031,Morocco,2007,33.757175,Africa,71.164,3820.17523,,,
1043,Mozambique,2007,19.951656,Africa,42.082,823.6856205,,,
1055,Myanmar,2007,47.76198,Asia,62.069,944,,,
1067,Namibia,2007,2.05508,Africa,52.906,4811.060429,,,
1079,Nepal,2007,28.90179,Asia,63.785,1091.359778,,,
1091,Netherlands,2007,16.570613,Europe,79.762,36797.93332,,,
1103,New Zealand,2007,4.115771,Oceania,80.204,25185.00911,,,
1115,Nicaragua,2007,5.675356,Americas,72.899,2749.320965,,,
1127,Niger,2007,12.894865,Africa,56.867,619.6768924,,,
1139,Nigeria,2007,135.031164,Africa,46.859,2013.977305,,,
1151,Norway,2007,4.627926,Europe,80.196,49357.19017,,,
1163,Oman,2007,3.204897,Asia,75.64,22316.19287,,,
1175,Pakistan,2007,169.270617,Asia,65.483,2605.94758,,,
1187,Panama,2007,3.242173,Americas,75.537,9809.185636,,,
1199,Paraguay,2007,6.667147,Americas,71.752,4172.838464,,,
1211,Peru,2007,28.674757,Americas,71.421,7408.905561,,,
1223,Philippines,2007,91.077287,Asia,71.688,3190.481016,,,
1235,Poland,2007,38.518241,Europe,75.563,15389.92468,,,
1247,Portugal,2007,10.642836,Europe,78.098,20509.64777,,,
1259,Puerto Rico,2007,3.942491,Americas,78.746,19328.70901,,,
1271,Reunion,2007,0.798094,Africa,76.442,7670.122558,,,
1283,Romania,2007,22.276056,Europe,72.476,10808.47561,,,
1295,Rwanda,2007,8.860588,Africa,46.242,863.0884639,,,
1307,Sao Tome and Principe,2007,0.199579,Africa,65.528,1598.435089,,,
1319,Saudi Arabia,2007,27.601038,Asia,72.777,21654.83194,,,
1331,Senegal,2007,12.267493,Africa,63.062,1712.472136,,,
1343,Serbia,2007,10.150265,Europe,74.002,9786.534714,,,
1355,Sierra Leone,2007,6.144562,Africa,42.568,862.5407561,,,
1367,Singapore,2007,4.553009,Asia,79.972,47143.17964,,,
1379,Slovak Republic,2007,5.447502,Europe,74.663,18678.31435,,,
1391,Slovenia,2007,2.009245,Europe,77.926,25768.25759,,,
1403,Somalia,2007,9.118773,Africa,48.159,926.1410683,,,
1415,South Africa,2007,43.997828,Africa,49.339,9269.657808,,,
1427,Spain,2007,40.448191,Europe,80.941,28821.0637,,,
1439,Sri Lanka,2007,20.378239,Asia,72.396,3970.095407,,,
1451,Sudan,2007,42.292929,Africa,58.556,2602.394995,,,
1463,Swaziland,2007,1.133066,Africa,39.613,4513.480643,,,
1475,Sweden,2007,9.031088,Europe,80.884,33859.74835,,,
1487,Switzerland,2007,7.554661,Europe,81.701,37506.41907,,,
1499,Syria,2007,19.314747,Asia,74.143,4184.548089,,,
1511,Taiwan,2007,23.174294,Asia,78.4,28718.27684,,,
1523,Tanzania,2007,38.13964,Africa,52.517,1107.482182,,,
1535,Thailand,2007,65.068149,Asia,70.616,7458.396327,,,
1547,Togo,2007,5.701579,Africa,58.42,882.9699438,,,
1559,Trinidad and Tobago,2007,1.056608,Americas,69.819,18008.50924,,,
1571,Tunisia,2007,10.276158,Africa,73.923,7092.923025,,,
1583,Turkey,2007,71.158647,Europe,71.777,8458.276384,,,
1595,Uganda,2007,29.170398,Africa,51.542,1056.380121,,,
1607,United Kingdom,2007,60.776238,Europe,79.425,33203.26128,,,
1619,United States,2007,301.139947,Americas,78.242,42951.65309,,,
1631,Uruguay,2007,3.447496,Americas,76.384,10611.46299,,,
1643,Venezuela,2007,26.084662,Americas,73.747,11415.80569,,,
1655,Vietnam,2007,85.262356,Asia,74.249,2441.576404,,,
1667,West Bank and Gaza,2007,4.018332,Asia,73.422,3025.349798,,,
1679,"Yemen, Rep.",2007,22.211743,Asia,62.698,2280.769906,,,
1691,Zambia,2007,11.746035,Africa,42.384,1271.211593,,,
1703,Zimbabwe,2007,12.311143,Africa,43.487,469.7092981,,,
